average time(s),tasks,poolThreads,al,ac,bl,bc
0.0,1,0,10,100,100,10
0.0023,2,0,10,100,100,10
0.0,4,0,10,100,100,10
0.0015,8,0,10,100,100,10
0.0026,16,0,10,100,100,10
0.0,1,2,10,100,100,10
0.0,2,2,10,100,100,10
0.0,4,2,10,100,100,10
0.0014,8,2,10,100,100,10
0.0,16,2,10,100,100,10
0.0,1,4,10,100,100,10
0.0,2,4,10,100,100,10
0.0015,4,4,10,100,100,10
0.0016,8,4,10,100,100,10
0.0,16,4,10,100,100,10
0.0,1,8,10,100,100,10
0.0018000000000000002,2,8,10,100,100,10
4.0E-4,4,8,10,100,100,10
0.013900000000000001,8,8,10,100,100,10
0.006900000000000001,16,8,10,100,100,10
0.21389999999999998,1,0,100,1000,1000,100
0.11320000000000001,2,0,100,1000,1000,100
0.0643,4,0,100,1000,1000,100
0.06399999999999999,8,0,100,1000,1000,100
0.06659999999999999,16,0,100,1000,1000,100
0.0,1,2,100,1000,1000,100
0.0,2,2,100,1000,1000,100
0.0,4,2,100,1000,1000,100
0.0015,8,2,100,1000,1000,100
0.0,16,2,100,1000,1000,100
0.0,1,4,100,1000,1000,100
0.0,2,4,100,1000,1000,100
0.0016,4,4,100,1000,1000,100
0.0,8,4,100,1000,1000,100
0.0,16,4,100,1000,1000,100
0.0016,1,8,100,1000,1000,100
6.000000000000001E-4,2,8,100,1000,1000,100
0.0,4,8,100,1000,1000,100
0.0,8,8,100,1000,1000,100
0.0016,16,8,100,1000,1000,100
