time,threads,variant,p1Degree,p2Degree
2.1,1,regular,500,500
0.4,1,karatsuba,500,500
5.8,2,regular,500,500
0.9,2,karatsuba,500,500
1.0,4,regular,500,500
1.4,4,karatsuba,500,500
1.5,8,regular,500,500
2.2,8,karatsuba,500,500
2.1,16,regular,500,500
1.8,16,karatsuba,500,500
2.0,1,regular,1000,1000
1.2,1,karatsuba,1000,1000
7.9,2,regular,1000,1000
1.3,2,karatsuba,1000,1000
2.4,4,regular,1000,1000
1.7,4,karatsuba,1000,1000
1.8,8,regular,1000,1000
1.2,8,karatsuba,1000,1000
2.6,16,regular,1000,1000
2.9,16,karatsuba,1000,1000
18.0,1,regular,5000,5000
13.7,1,karatsuba,5000,5000
57.1,2,regular,5000,5000
12.7,2,karatsuba,5000,5000
27.4,4,regular,5000,5000
4.1,4,karatsuba,5000,5000
27.5,8,regular,5000,5000
5.4,8,karatsuba,5000,5000
24.2,16,regular,5000,5000
4.3,16,karatsuba,5000,5000
73.4,1,regular,10000,10000
58.0,1,karatsuba,10000,10000
226.4,2,regular,10000,10000
28.0,2,karatsuba,10000,10000
94.9,4,regular,10000,10000
14.1,4,karatsuba,10000,10000
82.1,8,regular,10000,10000
14.2,8,karatsuba,10000,10000
81.2,16,regular,10000,10000
15.4,16,karatsuba,10000,10000
1658.5,1,regular,50000,50000
1216.2,1,karatsuba,50000,50000
5335.4,2,regular,50000,50000
644.6,2,karatsuba,50000,50000
2371.8,4,regular,50000,50000
330.0,4,karatsuba,50000,50000
1930.4,8,regular,50000,50000
354.2,8,karatsuba,50000,50000
1777.2,16,regular,50000,50000
342.0,16,karatsuba,50000,50000
