time(ms),threads,transformer,width,height
40.0,1,GrayScaleRegular,500,500
75.0,1,GaussianBlurRegular,500,500
102.0,1,SobelRegular,500,500
81.0,1,HoughRegular,500,500
41.0,2,GrayScaleRegular,500,500
60.0,2,GaussianBlurRegular,500,500
128.0,2,SobelRegular,500,500
97.0,2,HoughRegular,500,500
10.0,4,GrayScaleRegular,500,500
54.0,4,GaussianBlurRegular,500,500
48.0,4,SobelRegular,500,500
122.0,4,HoughRegular,500,500
21.0,8,GrayScaleRegular,500,500
31.0,8,GaussianBlurRegular,500,500
86.0,8,SobelRegular,500,500
295.0,8,HoughRegular,500,500
14.0,16,GrayScaleRegular,500,500
23.0,16,GaussianBlurRegular,500,500
77.0,16,SobelRegular,500,500
96.0,16,HoughRegular,500,500
147.0,1,GrayScaleRegular,1000,1000
212.0,1,GaussianBlurRegular,1000,1000
378.0,1,SobelRegular,1000,1000
246.0,1,HoughRegular,1000,1000
77.0,2,GrayScaleRegular,1000,1000
131.0,2,GaussianBlurRegular,1000,1000
256.0,2,SobelRegular,1000,1000
333.0,2,HoughRegular,1000,1000
71.0,4,GrayScaleRegular,1000,1000
103.0,4,GaussianBlurRegular,1000,1000
425.0,4,SobelRegular,1000,1000
539.0,4,HoughRegular,1000,1000
142.0,8,GrayScaleRegular,1000,1000
85.0,8,GaussianBlurRegular,1000,1000
234.0,8,SobelRegular,1000,1000
500.0,8,HoughRegular,1000,1000
41.0,16,GrayScaleRegular,1000,1000
146.0,16,GaussianBlurRegular,1000,1000
156.0,16,SobelRegular,1000,1000
549.0,16,HoughRegular,1000,1000
505.0,1,GrayScaleRegular,2000,2000
1022.0,1,GaussianBlurRegular,2000,2000
1945.0,1,SobelRegular,2000,2000
1572.0,1,HoughRegular,2000,2000
317.0,2,GrayScaleRegular,2000,2000
591.0,2,GaussianBlurRegular,2000,2000
2047.0,2,SobelRegular,2000,2000
1508.0,2,HoughRegular,2000,2000
583.0,4,GrayScaleRegular,2000,2000
512.0,4,GaussianBlurRegular,2000,2000
1589.0,4,SobelRegular,2000,2000
1373.0,4,HoughRegular,2000,2000
712.0,8,GrayScaleRegular,2000,2000
864.0,8,GaussianBlurRegular,2000,2000
1122.0,8,SobelRegular,2000,2000
1230.0,8,HoughRegular,2000,2000
637.0,16,GrayScaleRegular,2000,2000
852.0,16,GaussianBlurRegular,2000,2000
1222.0,16,SobelRegular,2000,2000
1358.0,16,HoughRegular,2000,2000
1492.0,1,GrayScaleRegular,3000,3000
2533.0,1,GaussianBlurRegular,3000,3000
5113.0,1,SobelRegular,3000,3000
3250.0,1,HoughRegular,3000,3000
939.0,2,GrayScaleRegular,3000,3000
2114.0,2,GaussianBlurRegular,3000,3000
6255.0,2,SobelRegular,3000,3000
4402.0,2,HoughRegular,3000,3000
1034.0,4,GrayScaleRegular,3000,3000
2114.0,4,GaussianBlurRegular,3000,3000
6982.0,4,SobelRegular,3000,3000
2341.0,4,HoughRegular,3000,3000
1791.0,8,GrayScaleRegular,3000,3000
3800.0,8,GaussianBlurRegular,3000,3000
5426.0,8,SobelRegular,3000,3000
1985.0,8,HoughRegular,3000,3000
2868.0,16,GrayScaleRegular,3000,3000
1919.0,16,GaussianBlurRegular,3000,3000
4914.0,16,SobelRegular,3000,3000
1914.0,16,HoughRegular,3000,3000
